x_utm,y_utm,ba_ppm,co_ppm,cr_ppm,cu_ppm,fe2o3_pct,ni_ppm,p_ppm,pb_ppm,v_ppm,y_ppm,zn_ppm
748925,6207621,496,9,23,17,5.45,12,237,11,66,46,73
748817,6208446,512,9,19,14,6.42,11,308,10,92,35,89
749382,6209240,499,10,23,16,5.19,13,217,10,70,21,73
749331,6209018,561,12,26,22,5.59,16,236,16,82,25,76
750589,6209741,413,10,22,20,3.40,11,293,11,46,19,60
752068,6209018,470,10,23,11,10.15,11,630,11,89,26,94
751624,6210059,506,11,24,19,5.69,13,245,11,69,21,90
751452,6210014,363,10,25,15,7.65,12,321,11,90,21,105
751821,6211380,540,10,21,14,4.75,11,216,13,70,23,93
751046,6211837,467,14,16,13,4.18,12,281,11,67,17,69
750354,6211469,672,10,21,16,3.77,12,168,11,66,34,54
750131,6211551,483,10,18,14,5.29,11,554,11,72,30,106
749566,6211392,691,10,23,20,5.56,12,196,12,56,25,103
748957,6211113,553,10,25,12,5.05,12,248,15,91,28,84
748709,6208935,420,10,24,16,7.25,11,410,11,84,20,100
748341,6210091,479,10,23,22,4.52,11,208,16,69,20,87
747661,6210103,432,13,24,12,3.67,12,280,11,64,16,55
747890,6211069,442,11,20,14,4.93,11,313,13,85,29,86
748874,6211812,564,12,20,15,4.50,11,240,11,71,22,79
748106,6211310,461,10,23,23,6.26,12,294,11,96,23,78
746836,6212370,515,10,22,19,4.72,12,434,14,72,21,67
745896,6211983,513,11,20,14,5.36,12,463,23,68,27,53
746093,6211037,591,11,20,17,6.53,12,707,13,112,26,63
746614,6210776,466,11,20,14,6.02,12,220,11,105,36,83
746321,6210053,560,11,26,20,4.58,11,291,11,84,25,51
746156,6209487,408,11,24,11,5.12,11,488,11,74,30,50
743839,6211983,449,11,19,12,6.15,12,247,11,66,40,61
743267,6211596,470,18,25,15,4.93,15,287,12,65,23,58
744220,6210554,434,11,22,15,6.11,12,416,14,69,30,56
744664,6210948,377,15,26,15,5.28,11,467,12,70,35,51
744759,6211627,443,11,23,15,4.96,11,363,12,64,41,42
743648,6209957,444,11,26,13,9.39,12,286,11,83,48,67
746194,6208833,351,11,24,14,5.35,12,443,13,75,34,54
745991,6208471,363,11,28,17,5.13,12,219,14,67,43,53
743750,6208554,409,11,27,16,5.28,13,441,12,53,34,54
743794,6208808,244,11,17,14,5.13,13,487,12,59,32,50
745109,6207462,244,11,29,18,2.60,14,320,16,38,23,28
745128,6207671,246,12,26,19,2.97,12,553,16,39,26,33
744224,6206633,230,12,31,17,3.16,13,466,14,44,26,39
744630,6206710,203,12,25,18,2.92,12,537,11,37,19,33
746478,6208342,500,12,20,20,6.29,13,352,12,83,38,67
743913,6205300,255,16,29,20,2.49,17,563,12,31,24,33
744001,6205592,228,12,28,15,2.30,14,432,18,35,10,30
744763,6205732,637,12,20,13,9.81,13,631,12,152,24,77
745373,6205719,477,12,28,17,4.60,14,347,12,56,41,61
744135,6204005,228,12,29,20,3.09,11,411,12,47,21,44
743906,6203528,340,12,25,18,6.49,13,357,12,85,33,69
744211,6203535,448,12,19,15,5.79,13,365,12,73,28,74
745144,6204341,433,12,21,15,6.42,13,656,12,83,27,131
744713,6204843,348,18,28,17,4.88,15,215,14,60,22,56
744751,6202874,449,12,33,20,5.66,11,572,14,73,28,87
745227,6203497,241,12,27,19,3.19,14,416,12,39,43,64
745125,6203109,431,13,21,16,3.12,14,423,12,51,31,65
746992,6203598,456,13,27,19,4.66,13,405,12,68,17,62
746002,6205941,195,13,19,14,2.79,14,387,12,32,25,71
746459,6206627,195,13,29,17,3.82,17,400,12,32,32,106
747088,6206030,338,13,29,18,4.32,14,475,11,62,40,78
747564,6205643,477,13,22,15,7.46,14,349,13,84,96,82
747189,6205148,712,13,28,18,6.25,12,308,14,85,40,105
746922,6204557,405,13,37,15,6.23,14,341,13,66,25,73
747538,6204995,535,13,28,18,4.83,14,363,13,70,14,63
748599,6206189,617,13,22,16,4.20,11,347,13,63,28,61
748243,6206773,618,13,22,14,6.28,14,406,13,80,35,98
747443,6206653,392,13,21,16,7.48,14,194,15,81,21,90
747875,6207446,416,27,38,18,6.96,19,254,13,85,40,87
747551,6208913,443,14,32,16,5.82,13,404,12,83,28,88
746878,6207510,368,14,26,15,5.30,13,342,13,73,40,92
746853,6209231,450,14,19,19,6.36,15,163,13,79,21,83
761667,6209605,491,14,32,19,4.15,16,291,16,73,21,83
762798,6209796,488,14,22,11,5.02,15,286,15,68,19,80
762372,6210443,414,14,26,20,6.75,14,265,20,99,26,98
762651,6211174,481,14,19,13,5.85,15,388,22,83,22,83
763280,6211485,428,14,23,14,6.11,11,347,11,93,26,90
763452,6211345,442,13,28,19,7.31,16,345,16,104,29,83
761743,6210609,373,14,30,26,8.49,25,438,13,106,28,97
760937,6209815,420,14,33,22,4.33,17,235,16,55,22,64
761267,6209929,389,11,30,13,4.09,18,206,11,80,39,63
760994,6210520,426,14,20,14,6.59,15,319,13,93,22,81
760518,6210196,447,15,25,16,8.82,12,418,13,123,28,93
760073,6210844,377,15,33,19,5.28,17,349,13,78,27,92
760137,6211104,374,15,25,14,4.99,16,340,11,69,27,90
760715,6211193,408,15,31,23,5.56,16,284,11,81,26,98
766246,6210951,372,15,31,21,8.84,16,688,12,120,31,133
765249,6210818,351,15,29,28,7.82,12,374,14,74,20,84
765604,6210856,397,15,19,14,7.84,16,593,13,92,22,94
765814,6210443,461,15,23,15,6.99,12,581,11,85,27,101
765719,6210037,394,11,24,16,5.03,12,452,11,72,30,83
765757,6209681,373,15,37,13,6.49,16,500,14,89,24,93
764982,6209878,398,15,21,14,7.81,17,408,15,85,17,81
764614,6209815,457,16,26,20,5.85,11,347,12,76,15,91
763712,6210199,459,16,27,16,6.99,14,363,12,85,17,89
763896,6210285,442,14,20,16,5.50,17,317,14,67,16,68
765242,6208602,390,16,35,21,3.27,16,491,18,49,33,64
765426,6208932,398,16,33,19,3.20,16,429,18,53,28,55
766322,6209097,393,11,26,18,3.00,12,377,14,47,31,60
766214,6208805,342,16,23,15,3.63,17,426,11,40,17,81
768007,6211460,425,16,33,18,3.23,12,266,21,42,18,63
768140,6210216,394,16,36,21,5.15,19,390,13,93,20,73
767302,6208844,475,16,30,18,9.31,14,199,14,65,22,56
767429,6209149,385,16,22,15,7.29,18,281,14,82,21,73
767975,6208260,411,16,33,21,7.21,15,336,12,79,64,61
765029,6207841,408,17,21,15,4.63,18,334,17,78,19,70
764616,6209047,394,17,32,14,2.97,12,227,14,43,37,62
763517,6208933,448,17,26,19,7.82,13,349,14,93,18,95
763797,6208514,347,16,24,18,5.19,13,336,13,79,17,66
763974,6208647,341,17,26,19,4.16,13,320,14,57,19,51
764165,6207022,321,17,25,19,3.25,19,254,14,51,25,35
763968,6207415,359,12,31,19,6.31,14,337,12,80,23,61
767975,6206006,330,17,29,17,6.26,12,523,14,79,12,77
766597,6205466,405,11,30,20,3.57,13,589,14,56,53,64
766863,6205359,382,17,30,17,3.42,11,464,14,61,14,47
765930,6205853,372,17,27,31,2.87,13,383,15,51,17,45
766092,6206175,372,18,25,26,3.62,12,489,18,58,26,58
766470,6206514,390,18,28,21,3.35,19,578,11,51,23,63
766800,6206552,376,18,24,19,3.30,11,472,14,48,15,58
763796,6206073,340,15,32,27,3.19,19,350,18,47,19,50
763551,6206344,314,18,28,19,2.73,12,245,15,52,15,43
762724,6207317,300,18,51,17,2.72,28,189,15,46,18,39
762697,6206463,354,18,30,17,3.86,13,176,13,58,14,44
763134,6205762,293,18,18,15,3.26,20,192,15,46,15,44
764001,6204552,388,15,24,18,2.77,11,307,13,48,23,40
763796,6204777,372,18,36,23,4.10,14,402,15,71,17,47
761474,6205696,394,11,35,17,3.25,17,200,15,57,20,38
761500,6206291,434,18,32,19,4.19,16,533,12,71,16,60
761533,6207826,478,19,33,21,7.39,15,435,15,94,19,86
762764,6208183,492,11,33,24,7.15,18,474,11,83,19,92
762367,6208805,436,15,32,22,3.02,17,309,16,54,14,59
761308,6208448,442,19,33,18,7.74,13,690,25,89,23,95
761725,6208692,397,19,36,18,3.10,12,294,12,55,16,54
760349,6208216,527,19,32,20,6.59,15,423,17,83,27,97
760541,6206119,526,13,32,28,9.04,17,460,12,101,30,114
759602,6206265,375,19,35,19,4.35,12,277,15,69,12,49
760468,6206576,321,12,23,17,3.50,11,261,14,54,16,55
